day,g10t,dryb,rad,rain,relh,sun,tmax,tmin,windrun
2000-01-01,5.1,6.0,213.8,0.1,98.0,1.9,8.3,3.4,90.0
2000-01-02,5.6,6.1,146.9,1.5,83.0,0.8,10.0,5.3,257.0
2000-01-03,6.6,9.5,56.7,7.2,96.0,0.0,10.1,6.1,142.0
2000-01-04,5.9,3.6,172.1,0.3,100.0,1.5,7.7,1.1,181.0
2000-01-05,4.5,4.4,175.6,0.8,93.0,0.8,10.4,0.1,364.0
2000-01-06,6.3,8.4,222.3,0.1,89.0,2.3,9.9,4.2,183.0
2000-01-07,4.9,4.4,241.0,1.2,98.0,1.0,9.7,1.0,329.0
2000-01-08,6.0,4.9,377.0,0.0,81.0,5.7,8.0,4.3,163.0
2000-01-09,4.4,0.5,406.7,0.0,92.0,7.1,4.8,-0.3,94.0
2000-01-10,3.4,-1.2,388.3,0.3,99.0,1.5,6.1,-3.1,131.0
2000-01-11,3.6,6.1,145.6,0.0,97.0,0.0,8.7,-1.2,298.0
2000-01-12,5.3,7.2,75.5,5.4,87.0,0.0,7.2,6.2,277.0
2000-01-13,5.2,2.1,152.1,0.2,96.0,0.0,3.7,1.4,179.0
2000-01-14,4.0,1.7,266.9,1.0,96.0,2.5,4.3,-0.6,246.0
2000-01-15,4.6,3.9,263.8,0.0,93.0,3.0,4.9,1.6,175.0
2000-01-16,4.2,2.2,294.8,0.0,87.0,2.6,4.3,1.3,151.0
2000-01-17,3.9,3.4,371.4,0.0,100.0,4.7,7.9,-0.5,198.0
2000-01-18,4.0,4.6,81.7,0.6,92.0,0.0,6.8,2.0,221.0
2000-01-19,4.7,4.8,138.3,0.0,95.0,0.0,5.9,4.4,124.0
2000-01-20,3.6,1.2,65.7,0.0,94.0,0.0,3.7,-1.8,133.0
2000-01-21,4.0,3.5,488.1,2.8,93.0,6.9,7.2,1.1,260.0
2000-01-22,4.2,4.7,226.8,0.3,86.0,1.5,6.2,0.9,360.0
2000-01-23,3.6,2.9,396.7,0.0,89.0,4.2,5.5,0.4,191.0
2000-01-24,3.5,-1.1,416.3,0.0,95.0,3.4,4.0,-1.5,78.0
2000-01-25,2.9,0.5,404.0,0.0,98.0,1.4,5.6,-3.0,72.0
2000-01-26,3.4,1.4,492.3,0.0,98.0,5.7,5.6,0.5,129.0
2000-01-27,2.7,-1.0,616.0,0.0,91.0,7.1,5.4,-3.1,182.0
2000-01-28,2.4,2.0,148.4,2.9,91.0,0.0,10.0,-1.3,504.0
2000-01-29,4.5,10.0,367.9,0.6,83.0,2.5,12.1,1.7,522.0
2000-01-30,5.9,10.5,252.8,0.0,89.0,1.5,11.6,9.0,583.0
2000-01-31,6.6,10.4,127.7,0.1,87.0,0.0,11.1,9.3,317.0
2000-02-01,6.9,8.4,177.6,10.0,86.0,0.0,11.1,8.1,262.0
2000-02-02,6.9,4.6,679.0,0.0,100.0,7.4,8.9,4.4,270.0
2000-02-03,5.4,4.7,325.5,0.1,87.0,0.9,8.0,2.4,228.0
2000-02-04,6.1,8.0,215.5,0.1,93.0,0.0,10.0,4.6,331.0
2000-02-05,6.9,6.6,471.5,0.0,93.0,2.1,9.5,6.4,235.0
2000-02-06,6.9,9.1,136.9,2.7,95.0,0.1,10.8,6.2,318.0
2000-02-07,6.5,5.3,82.0,5.3,89.0,0.0,10.0,4.3,400.0
2000-02-08,6.5,9.2,373.6,1.0,97.0,3.4,13.3,5.5,548.0
2000-02-09,5.6,5.5,500.2,1.5,71.0,2.1,9.5,3.0,403.0
2000-02-10,6.3,7.7,317.5,3.1,94.0,2.8,8.7,5.5,267.0
2000-02-11,4.7,1.5,646.0,3.0,91.0,5.1,9.0,-0.4,331.0
2000-02-12,5.4,6.6,596.2,0.0,82.0,4.3,8.6,1.5,288.0
2000-02-13,5.0,5.4,848.8,0.0,77.0,8.6,7.7,3.1,129.0
2000-02-14,4.0,2.4,246.9,3.0,93.0,0.3,9.0,-3.0,195.0
2000-02-15,4.6,4.6,495.5,1.7,84.0,2.5,7.0,2.4,336.0
2000-02-16,4.4,2.3,895.2,1.4,73.0,7.6,6.4,1.0,404.0
2000-02-17,4.0,1.5,820.3,1.5,87.0,7.1,9.0,0.0,249.0
2000-02-18,5.3,7.1,588.5,0.6,74.0,3.7,10.4,1.6,373.0
2000-02-19,5.6,5.2,574.6,0.0,84.0,4.3,7.0,5.0,164.0
2000-02-20,4.2,0.6,984.2,1.6,89.0,7.3,7.8,-2.0,89.0
2000-02-21,4.5,4.9,628.6,0.0,98.0,6.4,7.9,0.9,97.0
2000-02-22,3.9,1.5,729.5,0.0,85.0,4.2,8.6,-2.1,65.0
2000-02-23,5.2,7.3,313.7,0.0,99.0,0.0,11.4,1.3,234.0
2000-02-24,6.5,6.9,507.2,13.1,77.0,1.2,9.6,5.1,178.0
2000-02-25,5.6,3.8,1042.2,0.0,85.0,8.9,8.9,1.2,127.0
2000-02-26,4.5,2.3,959.5,0.1,91.0,6.9,9.2,-1.2,265.0
2000-02-27,6.4,8.7,220.3,8.0,88.0,0.0,11.0,2.3,418.0
2000-02-28,6.9,6.5,739.0,7.7,92.0,4.9,9.3,5.5,364.0
2000-02-29,5.9,6.4,324.8,9.1,94.0,0.7,10.0,2.9,307.0
2000-03-01,5.4,4.9,931.6,0.6,82.0,7.4,7.8,2.5,271.0
2000-03-02,4.6,3.6,260.7,5.7,91.0,0.0,10.6,1.0,531.0
2000-03-03,6.5,6.4,1028.0,0.3,81.0,7.0,9.6,3.1,303.0
2000-03-04,4.9,1.9,1140.4,0.0,82.0,9.4,6.3,-0.9,195.0
2000-03-05,4.1,4.5,985.9,0.0,82.0,6.7,9.0,-0.9,288.0
2000-03-06,5.4,7.1,301.1,0.0,88.0,0.1,11.2,4.5,347.0
2000-03-07,6.6,10.3,784.5,0.0,78.0,2.4,12.6,7.1,505.0
2000-03-08,7.9,11.6,578.7,0.0,87.0,1.8,14.0,10.2,465.0
2000-03-09,8.6,11.8,908.1,0.0,84.0,3.6,15.3,10.4,221.0
2000-03-10,8.9,10.3,496.3,0.0,96.0,0.8,12.4,9.1,340.0
2000-03-11,8.5,9.4,1120.5,0.0,71.0,6.2,11.7,7.8,167.0
2000-03-12,7.0,7.2,1293.3,0.0,67.0,9.1,12.6,1.2,151.0
2000-03-13,7.3,10.6,815.5,0.0,86.0,3.2,13.3,3.6,267.0
2000-03-14,8.5,9.1,664.5,0.1,87.0,1.0,10.7,8.2,295.0
2000-03-15,6.7,5.8,1458.4,0.0,76.0,9.7,10.9,0.6,230.0
2000-03-16,7.1,7.4,551.0,0.0,88.0,0.0,10.7,2.8,180.0
2000-03-17,7.9,8.5,326.4,0.0,73.0,0.0,9.3,7.1,193.0
2000-03-18,7.8,6.0,1197.3,0.0,77.0,6.5,9.1,5.9,246.0
2000-03-19,7.0,4.0,1462.5,0.0,90.0,7.8,10.7,1.9,85.0
2000-03-20,7.0,7.8,696.7,0.0,90.0,0.0,11.5,0.2,68.0
2000-03-21,7.0,6.4,1523.0,0.0,98.0,7.4,12.2,1.0,111.0
2000-03-22,7.5,5.2,1070.4,0.0,100.0,4.3,14.1,1.3,80.0
2000-03-23,7.9,7.5,750.3,1.4,80.0,0.1,12.5,4.5,183.0
2000-03-24,8.5,7.5,993.4,0.0,93.0,4.5,12.9,6.1,145.0
2000-03-25,7.5,7.7,1135.7,1.9,86.0,5.0,10.6,2.3,146.0
2000-03-26,6.5,5.6,1246.1,1.6,91.0,6.1,10.2,-1.1,168.0
2000-03-27,7.2,4.6,1031.8,0.5,92.0,5.1,8.9,2.6,360.0
2000-03-28,7.0,4.4,411.0,1.0,89.0,0.2,7.1,3.0,399.0
2000-03-29,6.6,4.5,158.7,0.0,93.0,0.0,5.9,3.0,353.0
2000-03-30,6.4,4.9,367.8,0.0,90.0,0.0,6.9,4.3,169.0
2000-03-31,6.6,4.9,1061.9,0.0,79.0,3.7,8.6,3.0,55.0
2000-04-01,6.5,6.6,937.9,2.9,81.0,2.2,10.3,0.3,163.0
