study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_cnt,ww_rts_cnt,ww_pla_tkal_cnt,ww_rts_tkal_cnt
2016-R-CS-760,2016,2016-R-CS-760-1,2016-R-CS-760-1-A,1,1,1,1,A,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,62,9,26
2016-R-CS-760,2016,2016-R-CS-760-1,2016-R-CS-760-1-B,1,1,1,1,B,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,58,9,49
2016-R-CS-760,2016,2016-R-CS-760-1,2016-R-CS-760-1-C,1,1,1,1,C,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,69,10,46
2016-R-CS-760,2016,2016-R-CS-760-1,2016-R-CS-760-1-D,1,1,1,1,D,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,59,9,26
2016-R-CS-760,2016,2016-R-CS-760-1,2016-R-CS-760-1-E,1,1,1,1,E,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,42
2016-R-CS-760,2016,2016-R-CS-760-4,2016-R-CS-760-4-A,1,1,2,4,A,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,7,46,7,24
2016-R-CS-760,2016,2016-R-CS-760-4,2016-R-CS-760-4-B,1,1,2,4,B,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,63,10,33
2016-R-CS-760,2016,2016-R-CS-760-4,2016-R-CS-760-4-C,1,1,2,4,C,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,60,10,36
2016-R-CS-760,2016,2016-R-CS-760-4,2016-R-CS-760-4-D,1,1,2,4,D,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,28
2016-R-CS-760,2016,2016-R-CS-760-4,2016-R-CS-760-4-E,1,1,2,4,E,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,63,7,14
