study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2017-R-CS-760,2017,2017-R-CS-760-1,2017-R-CS-760-1-A,1,1,1,1,A,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,11,58,7,13
2017-R-CS-760,2017,2017-R-CS-760-1,2017-R-CS-760-1-B,1,1,1,1,B,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,58,8,20
2017-R-CS-760,2017,2017-R-CS-760-1,2017-R-CS-760-1-C,1,1,1,1,C,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,59,9,39
2017-R-CS-760,2017,2017-R-CS-760-1,2017-R-CS-760-1-D,1,1,1,1,D,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,49,7,14
2017-R-CS-760,2017,2017-R-CS-760-1,2017-R-CS-760-1-E,1,1,1,1,E,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,58,10,36
2017-R-CS-760,2017,2017-R-CS-760-4,2017-R-CS-760-4-A,1,1,2,4,A,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,68,10,34
2017-R-CS-760,2017,2017-R-CS-760-4,2017-R-CS-760-4-B,1,1,2,4,B,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,68,10,52
2017-R-CS-760,2017,2017-R-CS-760-4,2017-R-CS-760-4-C,1,1,2,4,C,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,66,10,52
2017-R-CS-760,2017,2017-R-CS-760-4,2017-R-CS-760-4-D,1,1,2,4,D,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,10,49
2017-R-CS-760,2017,2017-R-CS-760-4,2017-R-CS-760-4-E,1,1,2,4,E,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,53,10,30
